,Dataset,Mask bounding box,Mask position,Mask size,Sample id,Image index,GT info,Masked info,Info loss %
0,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,0,55.41824284724812,16.09968565187277,70.94876195145869
1,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,1,35.59592945814907,6.358356865043422,82.13740458015268
2,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,2,49.31802440193937,12.553678938675475,74.54545454545455
3,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,3,44.223187170334064,5.325803186104747,87.95698924731182
4,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,4,28.327295007725503,3.328626991315467,88.2494004796163
5,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,5,52.94554851084234,9.768501252064574,81.54991018732358
6,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,6,39.78048910437423,7.472427939687783,81.21584699453553
7,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,7,31.696680696893814,3.410144387021152,89.24132018859837
8,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,8,38.23165858596622,3.1112472694336404,91.86211798152097
9,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,9,35.18834247962065,3.92642122649049,88.84169884169884
10,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,10,27.933294261814694,5.679045234162715,79.66926070038912
11,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,11,68.48819862539294,24.115562896265118,64.7887323943662
12,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,12,30.460333528690928,7.214289519953114,76.3157894736842
13,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,13,47.75560765091374,7.499600404923012,84.29587482219063
14,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,14,72.07496403644308,19.863072086951888,72.44109330819981
15,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,15,37.48441579199744,3.3150407586978528,91.15621602029721
16,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,16,32.185785071127924,3.505248015344451,89.10932883073028
17,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,17,36.79151792849912,6.073045980073526,83.49335302806499
18,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,18,24.115562896265118,2.9074537801694285,87.94366197183098
19,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,19,64.58894986413767,20.148382971921787,68.80521665965502
20,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,20,38.014278864084396,7.390910543982098,80.55754110078628
21,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,21,42.103734881986256,6.765943843571847,83.93030009680542
22,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,22,75.03676274708296,22.240662795034364,70.36031142495021
23,IRE_Center_25,IRE,Center,25,3b3a9f4e3aa9f2f4d39a194653571dfc,23,46.994778624327346,9.52394906494752,79.73402717548423
24,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,0,42.11732111460387,4.863871277105866,88.45161290322581
25,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,1,44.549256753156804,3.681869039373435,91.73528514791096
26,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,2,49.141403377910386,7.635462731099153,84.46226154271496
27,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,3,50.89402738558261,5.52959667536896,89.13507741591032
28,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,4,41.70973413607545,1.6031754488784697,96.15635179153095
29,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,5,38.734349192817945,1.3586232617614151,96.49245878639073
30,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,6,46.69588150673984,3.7226277372262775,92.02793133546699
31,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,7,56.79045234162715,8.477809153391231,85.07177033492823
32,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,8,76.09648889125685,26.601843465288507,65.04195679342973
33,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,9,56.60024508498055,7.567531568011082,86.62986077772443
34,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,10,52.70099632372529,7.255048217805957,86.23356535189481
35,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,11,62.68687729767169,12.730299962704459,79.69224100563503
36,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,12,43.2993233523363,3.3150407586978528,92.3438970818952
37,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,13,60.81197719644094,11.371676700943045,81.30026809651474
38,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,14,50.03809473067292,5.6111140710746445,88.78631550366549
39,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,15,63.50205125472854,16.792583515371092,73.55584082156611
40,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,16,61.246736640204595,12.01022963397091,80.39041703637977
41,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,17,47.38877937023816,4.632905322606425,90.22362385321101
42,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,18,49.48105919335074,4.6600777878416535,90.58209774848984
43,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,19,36.65565560232298,0.6249667004102509,98.295033358043
44,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,20,41.15269859875326,1.7797964729074538,95.67514031033343
45,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,21,45.853535084447756,5.271458255634291,88.50370370370369
46,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,22,60.2957003569716,11.765677446853855,80.48670572329878
47,IRE_Center_25,IRE,Center,25,a691eee4545ce2fade94aad0562ac2e,23,39.10117747349353,2.8123501518461294,92.80750521195273
48,IRE_Center_25,IRE,Center,25,a58f8f1bd61094b3ff2c92c2a4f65876,0,49.372369332409825,5.081250998987692,89.70831040176115
49,IRE_Center_25,IRE,Center,25,a58f8f1bd61094b3ff2c92c2a4f65876,1,49.54899035643881,18.219137940220577,63.230052097614475
