,Dataset,Mask bounding box,Mask position,Mask size,Sample id,Image index,GT info,Masked info,Info loss %
0,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,0,55.41824284724812,44.712291544568174,19.318460406962487
1,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,1,35.59592945814907,27.566465981139114,22.557251908396935
2,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,2,49.31802440193937,39.57669561511002,19.752066115702487
3,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,3,44.223187170334064,34.98454899035644,20.89093701996929
4,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,4,28.327295007725503,22.607491075709948,20.191846522781766
5,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,5,52.94554851084234,42.28035590601524,20.143700282268405
6,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,6,39.78048910437423,31.927646651393253,19.74043715846995
7,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,7,31.696680696893814,24.197080291970803,23.660522931847407
8,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,8,38.23165858596622,29.68591826948692,22.35252309879176
9,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,9,35.18834247962065,28.34088124034312,19.45945945945946
10,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,10,27.933294261814694,24.06121796579466,13.861867704280156
11,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,11,68.48819862539294,55.11934572966061,19.51993652053165
12,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,12,30.460333528690928,26.465981139112365,13.113291703835866
13,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,13,47.75560765091374,37.851244072673026,20.739687055476523
14,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,14,72.07496403644308,57.469763972507856,20.263901979264855
15,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,15,37.48441579199744,30.297298737279558,19.17361362812613
16,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,16,32.185785071127924,25.705152112525973,20.135078092021956
17,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,17,36.79151792849912,29.59081464116362,19.571639586410626
18,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,18,24.115562896265118,20.379348926421226,15.492957746478876
19,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,19,64.58894986413767,51.12499334008205,20.845603702145564
20,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,20,38.014278864084396,30.378816132985243,20.08577555396712
21,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,21,42.103734881986256,33.27268368053706,20.974507905776058
22,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,22,75.03676274708296,60.36363152005967,19.55458989679523
23,MORE_Center_15,MORE,Center,15,3b3a9f4e3aa9f2f4d39a194653571dfc,23,46.994778624327346,36.42468964782354,22.49204972535414
24,MORE_Center_15,MORE,Center,15,a691eee4545ce2fade94aad0562ac2e,0,42.11732111460387,34.413927220416646,18.290322580645157
25,MORE_Center_15,MORE,Center,15,a691eee4545ce2fade94aad0562ac2e,1,44.549256753156804,33.06889019127284,25.770051845074725
