,Dataset,Mask bounding box,Mask position,Mask size,Sample id,Image index,GT info,Masked info,Info loss %
0,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,0,55.41824284724812,37.29420853535085,32.70409414072076
1,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,1,35.59592945814907,22.023283073152538,38.12977099236641
2,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,2,49.31802440193937,32.96020033033193,33.16804407713499
3,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,3,44.223187170334064,29.346262454046567,33.64055299539171
4,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,4,28.327295007725503,17.662102402898395,37.649880095923265
5,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,5,52.94554851084234,37.04965634823379,30.023094688221708
6,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,6,39.78048910437423,26.724119558847036,32.82103825136611
7,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,7,31.696680696893814,20.705418509243966,34.676382340334335
8,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,8,38.23165858596622,26.764878256699877,29.99289267945985
9,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,9,35.18834247962065,23.544941126325323,33.08880308880309
10,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,10,27.933294261814694,25.053012946880493,10.311284046692611
11,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,11,68.48819862539294,47.94581490756034,29.994048799841305
12,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,12,30.460333528690928,18.925622036336513,37.867975022301515
13,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,13,47.75560765091374,37.79689914220257,20.853485064011373
14,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,14,72.07496403644308,49.141403377910386,31.819038642789828
15,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,15,37.48441579199744,28.68053705578347,23.486770569046758
16,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,16,32.185785071127924,21.7923171186531,32.29210637399746
17,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,17,36.79151792849912,28.884330545047685,21.49187592319054
18,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,18,24.115562896265118,13.980233363524961,42.028169014084504
19,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,19,64.58894986413767,44.11449730939315,31.69962137147665
20,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,20,38.014278864084396,32.851510469391016,13.58112937812724
21,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,21,42.103734881986256,26.465981139112365,37.14101323007422
22,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,22,75.03676274708296,49.91581863711439,33.47818214738367
23,ORE_Random_25,ORE,Random,25,3b3a9f4e3aa9f2f4d39a194653571dfc,23,46.994778624327346,29.29191752357611,37.669846776525
24,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,0,42.11732111460387,30.460333528690928,27.677419354838705
25,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,1,44.549256753156804,26.04480792796633,41.537053979871914
26,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,2,49.141403377910386,34.94379029250359,28.891346419684833
27,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,3,50.89402738558261,34.250892429005276,32.701548318206086
28,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,4,41.70973413607545,30.908679205072193,25.89576547231271
29,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,5,38.734349192817945,23.36832010229634,39.67029112592073
30,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,6,46.69588150673984,27.403431189727744,41.31510037823683
31,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,7,56.79045234162715,35.392135968884865,37.67942583732057
32,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,8,76.09648889125685,45.78560392135969,39.832172826281024
33,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,9,56.60024508498055,42.823805210719804,24.33989438310129
34,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,10,52.70099632372529,37.919175235761095,28.048466099510183
35,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,11,62.68687729767169,37.79689914220257,39.70524490680537
36,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,12,43.2993233523363,26.90074058287602,37.8726074678381
37,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,13,60.81197719644094,45.01118866215568,25.983020554066133
38,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,14,50.03809473067292,29.305503756193723,41.433613901710565
39,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,15,63.50205125472854,41.8591826948692,34.0821566110398
40,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,16,61.246736640204595,40.201662315520274,34.36113575865129
41,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,17,47.38877937023816,31.6830944642762,33.1422018348624
42,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,18,49.48105919335074,39.155522403963985,20.867655134541458
43,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,19,36.65565560232298,25.69156587990836,29.911045218680503
44,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,20,41.15269859875326,29.468538547605093,28.39220864971938
45,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,21,45.853535084447756,30.75923064627844,32.91851851851851
46,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,22,60.2957003569716,37.688209281261656,37.49436683190626
47,ORE_Random_25,ORE,Random,25,a691eee4545ce2fade94aad0562ac2e,23,39.10117747349353,25.324737599232776,35.23280055594164
48,ORE_Random_25,ORE,Random,25,a58f8f1bd61094b3ff2c92c2a4f65876,0,49.372369332409825,30.854334274601737,37.50687947165658
