Loss type,Loss value,Loss index,Type,Erasing Probability
EncoderDecoder/EpochLoss,0.9654860770380176,154,Train,20
Refiner/EpochLoss,0.5292379936656436,154,Train,20
EncoderDecoder/EpochLoss,0.8376018936569626,155,Train,20
Refiner/EpochLoss,0.4406253695487976,155,Train,20
EncoderDecoder/EpochLoss,0.8442028390394675,156,Train,20
Refiner/EpochLoss,0.4442337686951096,156,Train,20
EncoderDecoder/EpochLoss,0.821470320224762,157,Train,20
Refiner/EpochLoss,0.4233783902348699,157,Train,20
EncoderDecoder/EpochLoss,0.818279364624539,158,Train,20
Refiner/EpochLoss,0.4216064883245004,158,Train,20
EncoderDecoder/EpochLoss,0.8098888381107433,159,Train,20
Refiner/EpochLoss,0.4160129492347305,159,Train,20
EncoderDecoder/EpochLoss,0.779051120216782,160,Train,20
Refiner/EpochLoss,0.3919368821221429,160,Train,20
EncoderDecoder/EpochLoss,0.7939395002416663,161,Train,20
Refiner/EpochLoss,0.4027075429220457,161,Train,20
EncoderDecoder/EpochLoss,0.809081037302275,162,Train,20
Refiner/EpochLoss,0.4098738077524546,162,Train,20
EncoderDecoder/EpochLoss,0.7953428497185578,163,Train,20
Refiner/EpochLoss,0.3962247468329765,163,Train,20
EncoderDecoder/EpochLoss,0.773423059566601,164,Train,20
Refiner/EpochLoss,0.3761648439072274,164,Train,20
EncoderDecoder/EpochLoss,2.197471219125916,154,Validation,20
Refiner/EpochLoss,1.9957025462651956,154,Validation,20
Refiner/IoU,0.5076201709754327,154,Validation,20
EncoderDecoder/EpochLoss,2.045309868805549,155,Validation,20
Refiner/EpochLoss,1.875424720346928,155,Validation,20
Refiner/IoU,0.5067460092551568,155,Validation,20
EncoderDecoder/EpochLoss,2.145413992247161,156,Validation,20
Refiner/EpochLoss,1.9857630006530709,156,Validation,20
Refiner/IoU,0.5057829221381861,156,Validation,20
EncoderDecoder/EpochLoss,2.0007344817414,157,Validation,20
Refiner/EpochLoss,1.821909894487437,157,Validation,20
Refiner/IoU,0.5128987843499464,157,Validation,20
EncoderDecoder/EpochLoss,2.0520661374225337,158,Validation,20
Refiner/EpochLoss,1.921005822367528,158,Validation,20
Refiner/IoU,0.5241282811059671,158,Validation,20
EncoderDecoder/EpochLoss,1.842561826372848,159,Validation,20
Refiner/EpochLoss,1.742838105647003,159,Validation,20
Refiner/IoU,0.514786802626708,159,Validation,20
EncoderDecoder/EpochLoss,1.812471224104657,160,Validation,20
Refiner/EpochLoss,1.7307714865049897,160,Validation,20
Refiner/IoU,0.5221505972830688,160,Validation,20
EncoderDecoder/EpochLoss,2.0960195812232354,161,Validation,20
Refiner/EpochLoss,1.917903930518557,161,Validation,20
Refiner/IoU,0.5151720702648163,161,Validation,20
EncoderDecoder/EpochLoss,1.9638336875859428,162,Validation,20
Refiner/EpochLoss,1.8014980842961985,162,Validation,20
Refiner/IoU,0.522257590556846,162,Validation,20
EncoderDecoder/EpochLoss,1.8787398099899293,163,Validation,20
Refiner/EpochLoss,1.7240256075911662,163,Validation,20
Refiner/IoU,0.5135929055950221,163,Validation,20
EncoderDecoder/EpochLoss,1.8519737713477191,164,Validation,20
Refiner/EpochLoss,1.76754036782419,164,Validation,20
