Loss type,Loss value,Loss index,Type,Mask Size
Refiner/IoU,0.509155294160459,157,Validation,10-20
EncoderDecoder/EpochLoss,1.7409787773645786,158,Validation,10-20
Refiner/EpochLoss,1.7228718530964464,158,Validation,10-20
Refiner/IoU,0.5152098826178112,158,Validation,10-20
EncoderDecoder/EpochLoss,1.7500412911396788,159,Validation,10-20
Refiner/EpochLoss,1.7303792777274525,159,Validation,10-20
Refiner/IoU,0.5111531396196988,159,Validation,10-20
EncoderDecoder/EpochLoss,1.6591603146808187,160,Validation,10-20
Refiner/EpochLoss,1.6454970915987537,160,Validation,10-20
Refiner/IoU,0.5160911818319709,160,Validation,10-20
EncoderDecoder/EpochLoss,1.7276146770778225,161,Validation,10-20
Refiner/EpochLoss,1.6877259481890867,161,Validation,10-20
Refiner/IoU,0.5139290277613671,161,Validation,10-20
EncoderDecoder/EpochLoss,1.710018944727089,162,Validation,10-20
Refiner/EpochLoss,1.6665806583234797,162,Validation,10-20
Refiner/IoU,0.5202446551264389,162,Validation,10-20
EncoderDecoder/EpochLoss,1.703457453600413,163,Validation,10-20
Refiner/EpochLoss,1.6692400643577252,163,Validation,10-20
Refiner/IoU,0.5174696476610056,163,Validation,10-20
EncoderDecoder/EpochLoss,1.674641309319782,164,Validation,10-20
Refiner/EpochLoss,1.6483754935389607,164,Validation,10-20
Refiner/IoU,0.5137958042103483,164,Validation,10-20
EncoderDecoder/EpochLoss,1.329109461726369,154,Train,20-30
Refiner/EpochLoss,0.980588945182594,154,Train,20-30
EncoderDecoder/EpochLoss,1.1734387854466568,155,Train,20-30
Refiner/EpochLoss,0.8462156854771279,155,Train,20-30
EncoderDecoder/EpochLoss,1.1348538394715335,156,Train,20-30
Refiner/EpochLoss,0.7897992854988253,156,Train,20-30
EncoderDecoder/EpochLoss,1.102298524331402,157,Train,20-30
Refiner/EpochLoss,0.7509675384373278,157,Train,20-30
EncoderDecoder/EpochLoss,1.0917910812674343,158,Train,20-30
Refiner/EpochLoss,0.7313738910330309,158,Train,20-30
EncoderDecoder/EpochLoss,1.078383990638965,159,Train,20-30
Refiner/EpochLoss,0.7141771417211842,159,Train,20-30
EncoderDecoder/EpochLoss,1.0732495603529182,160,Train,20-30
Refiner/EpochLoss,0.6980404471223419,160,Train,20-30
EncoderDecoder/EpochLoss,1.0606383798090186,161,Train,20-30
Refiner/EpochLoss,0.6927571222186089,161,Train,20-30
EncoderDecoder/EpochLoss,1.0523372618733229,162,Train,20-30
Refiner/EpochLoss,0.677327718283679,162,Train,20-30
EncoderDecoder/EpochLoss,1.048361981639991,163,Train,20-30
Refiner/EpochLoss,0.6623720220617346,163,Train,20-30
EncoderDecoder/EpochLoss,1.0411590474682886,164,Train,20-30
Refiner/EpochLoss,0.6530044187565107,164,Train,20-30
EncoderDecoder/EpochLoss,1.7742010535702573,154,Validation,20-30
Refiner/EpochLoss,1.725145806656102,154,Validation,20-30
Refiner/IoU,0.5009254290883263,154,Validation,20-30
EncoderDecoder/EpochLoss,1.7084745533181085,155,Validation,20-30
Refiner/EpochLoss,1.6783100612670667,155,Validation,20-30
Refiner/IoU,0.5119488217112673,155,Validation,20-30
EncoderDecoder/EpochLoss,1.6952826651899997,156,Validation,20-30
Refiner/EpochLoss,1.6596196210300729,156,Validation,20-30
Refiner/IoU,0.5197259489078201,156,Validation,20-30
EncoderDecoder/EpochLoss,1.6908057795581648,157,Validation,20-30
Refiner/EpochLoss,1.6848638382804977,157,Validation,20-30
Refiner/IoU,0.5193168269841762,157,Validation,20-30
EncoderDecoder/EpochLoss,1.6904272222272403,158,Validation,20-30
Refiner/EpochLoss,1.6754110334895034,158,Validation,20-30
Refiner/IoU,0.5184481560171443,158,Validation,20-30
EncoderDecoder/EpochLoss,1.6899415115486045,159,Validation,20-30
Refiner/EpochLoss,1.6824507124975123,159,Validation,20-30
Refiner/IoU,0.5162080846605837,159,Validation,20-30
EncoderDecoder/EpochLoss,1.6583463252251045,160,Validation,20-30
Refiner/EpochLoss,1.6534753213120703,160,Validation,20-30
Refiner/IoU,0.5202864750317315,160,Validation,20-30
EncoderDecoder/EpochLoss,1.6073776034740084,161,Validation,20-30
Refiner/EpochLoss,1.6087808719391836,161,Validation,20-30
Refiner/IoU,0.5205497238427357,161,Validation,20-30
EncoderDecoder/EpochLoss,1.6549295496465184,162,Validation,20-30
Refiner/EpochLoss,1.6521732898503323,162,Validation,20-30
Refiner/IoU,0.5212310176546323,162,Validation,20-30
EncoderDecoder/EpochLoss,1.6464675781557796,163,Validation,20-30
Refiner/EpochLoss,1.6368963342473637,163,Validation,20-30
Refiner/IoU,0.5210519205982435,163,Validation,20-30
EncoderDecoder/EpochLoss,1.5982200220733485,164,Validation,20-30
Refiner/EpochLoss,1.5890905086936062,164,Validation,20-30
Refiner/IoU,0.5269403594712475,164,Validation,20-30
EncoderDecoder/EpochLoss,1.5676304597306896,154,Train,30-40
Refiner/EpochLoss,1.2772197211916383,154,Train,30-40
EncoderDecoder/EpochLoss,1.3063395522736214,155,Train,30-40
Refiner/EpochLoss,1.0275755375623703,155,Train,30-40
EncoderDecoder/EpochLoss,1.2591400347851418,156,Train,30-40
Refiner/EpochLoss,0.9730535906714362,156,Train,30-40
EncoderDecoder/EpochLoss,1.2323552913762428,157,Train,30-40
Refiner/EpochLoss,0.9413790340359146,157,Train,30-40
EncoderDecoder/EpochLoss,1.21380608629536,158,Train,30-40
Refiner/EpochLoss,0.9072678733516384,158,Train,30-40
EncoderDecoder/EpochLoss,1.2109990639461052,159,Train,30-40
Refiner/EpochLoss,0.898749407884237,159,Train,30-40
EncoderDecoder/EpochLoss,1.1780595759282242,160,Train,30-40
Refiner/EpochLoss,0.8577356608332815,160,Train,30-40
EncoderDecoder/EpochLoss,1.1815852240936175,161,Train,30-40
Refiner/EpochLoss,0.8534565261892371,161,Train,30-40
EncoderDecoder/EpochLoss,1.175211620491904,162,Train,30-40
Refiner/EpochLoss,0.8462125936875472,162,Train,30-40
EncoderDecoder/EpochLoss,1.1580603279777475,163,Train,30-40
Refiner/EpochLoss,0.8199488560895662,163,Train,30-40
EncoderDecoder/EpochLoss,1.151294232220263,164,Train,30-40
Refiner/EpochLoss,0.8056333242235957,164,Train,30-40
EncoderDecoder/EpochLoss,1.7416935994935,154,Validation,30-40
Refiner/EpochLoss,1.694134667185596,154,Validation,30-40
Refiner/IoU,0.5038305328418796,154,Validation,30-40
EncoderDecoder/EpochLoss,1.750704063402497,155,Validation,30-40
Refiner/EpochLoss,1.7061241317865063,155,Validation,30-40
Refiner/IoU,0.5092200450269035,155,Validation,30-40
EncoderDecoder/EpochLoss,1.6506093898939418,156,Validation,30-40
Refiner/EpochLoss,1.6340539757288894,156,Validation,30-40
Refiner/IoU,0.514761222055955,156,Validation,30-40
EncoderDecoder/EpochLoss,1.6636671007471917,157,Validation,30-40
Refiner/EpochLoss,1.634172580046703,157,Validation,30-40
Refiner/IoU,0.5160853730038667,157,Validation,30-40
EncoderDecoder/EpochLoss,1.6182772132459384,158,Validation,30-40
Refiner/EpochLoss,1.593595442514828,158,Validation,30-40
Refiner/IoU,0.5245125695919973,158,Validation,30-40
EncoderDecoder/EpochLoss,1.6123488585036825,159,Validation,30-40
Refiner/EpochLoss,1.5540089811276827,159,Validation,30-40
Refiner/IoU,0.5240903172966649,159,Validation,30-40
EncoderDecoder/EpochLoss,1.6314536053549769,160,Validation,30-40
Refiner/EpochLoss,1.595053233547436,160,Validation,30-40
Refiner/IoU,0.5213425056059656,160,Validation,30-40
EncoderDecoder/EpochLoss,1.6231460469820298,161,Validation,30-40
Refiner/EpochLoss,1.605940426062886,161,Validation,30-40
Refiner/IoU,0.5230571203968285,161,Validation,30-40
EncoderDecoder/EpochLoss,1.6114139732749282,162,Validation,30-40
Refiner/EpochLoss,1.5781381505058647,162,Validation,30-40
Refiner/IoU,0.5222648582538174,162,Validation,30-40
EncoderDecoder/EpochLoss,1.6274072747110793,163,Validation,30-40
Refiner/EpochLoss,1.607250438945332,163,Validation,30-40
Refiner/IoU,0.524440505468951,163,Validation,30-40
EncoderDecoder/EpochLoss,1.6613826901160809,164,Validation,30-40
Refiner/EpochLoss,1.644345263214548,164,Validation,30-40
Refiner/IoU,0.528013577137247,164,Validation,30-40
