Loss type,Loss value,Loss index,Type,Learning Rate
Refiner/EpochLoss,1.9747931236729903,157,Validation,0.0005
Refiner/IoU,0.4950898024527466,157,Validation,0.0005
EncoderDecoder/EpochLoss,1.8287424681817783,158,Validation,0.0005
Refiner/EpochLoss,1.6969553950954883,158,Validation,0.0005
Refiner/IoU,0.5228975402519983,158,Validation,0.0005
EncoderDecoder/EpochLoss,1.7924940427436549,159,Validation,0.0005
Refiner/EpochLoss,1.703449922055006,159,Validation,0.0005
Refiner/IoU,0.5114615697632817,159,Validation,0.0005
EncoderDecoder/EpochLoss,1.8801597539992891,160,Validation,0.0005
Refiner/EpochLoss,1.7962784717626432,160,Validation,0.0005
Refiner/IoU,0.5183972400120076,160,Validation,0.0005
EncoderDecoder/EpochLoss,1.812940211594105,161,Validation,0.0005
Refiner/EpochLoss,1.7383506582502055,161,Validation,0.0005
Refiner/IoU,0.5191570930182934,161,Validation,0.0005
EncoderDecoder/EpochLoss,1.8333219404606256,162,Validation,0.0005
Refiner/EpochLoss,1.7576021445148131,162,Validation,0.0005
Refiner/IoU,0.5295871213078499,162,Validation,0.0005
EncoderDecoder/EpochLoss,1.8101131479529773,163,Validation,0.0005
Refiner/EpochLoss,1.7391884809907745,163,Validation,0.0005
Refiner/IoU,0.5160220358301612,163,Validation,0.0005
EncoderDecoder/EpochLoss,1.78138147084152,164,Validation,0.0005
Refiner/EpochLoss,1.7140483454746358,164,Validation,0.0005
Refiner/IoU,0.5267826874904773,164,Validation,0.0005
EncoderDecoder/EpochLoss,1.2448385841137657,154,Train,0.0001
Refiner/EpochLoss,0.8031753164690894,154,Train,0.0001
EncoderDecoder/EpochLoss,1.2433461981850702,155,Train,0.0001
Refiner/EpochLoss,0.8051204399482624,155,Train,0.0001
EncoderDecoder/EpochLoss,1.207464319628638,156,Train,0.0001
Refiner/EpochLoss,0.7673340286757495,156,Train,0.0001
EncoderDecoder/EpochLoss,1.1444324061677262,157,Train,0.0001
Refiner/EpochLoss,0.7172697653641572,157,Train,0.0001
EncoderDecoder/EpochLoss,1.1342591450021071,158,Train,0.0001
Refiner/EpochLoss,0.7021716663966308,158,Train,0.0001
EncoderDecoder/EpochLoss,1.113537250338374,159,Train,0.0001
Refiner/EpochLoss,0.6826958994607668,159,Train,0.0001
EncoderDecoder/EpochLoss,1.0956273481652543,160,Train,0.0001
Refiner/EpochLoss,0.6755338746148187,160,Train,0.0001
EncoderDecoder/EpochLoss,1.1190073071299371,161,Train,0.0001
Refiner/EpochLoss,0.7024084692065781,161,Train,0.0001
EncoderDecoder/EpochLoss,1.0633390433079488,162,Train,0.0001
Refiner/EpochLoss,0.6552128759590355,162,Train,0.0001
EncoderDecoder/EpochLoss,1.0565651155806877,163,Train,0.0001
Refiner/EpochLoss,0.6486479398366567,163,Train,0.0001
EncoderDecoder/EpochLoss,1.0352750565554645,164,Train,0.0001
Refiner/EpochLoss,0.6274772431399371,164,Train,0.0001
EncoderDecoder/EpochLoss,2.6079892074360567,154,Validation,0.0001
Refiner/EpochLoss,2.5394928080194137,154,Validation,0.0001
Refiner/IoU,0.5057295374572277,154,Validation,0.0001
EncoderDecoder/EpochLoss,2.5452263858388453,155,Validation,0.0001
Refiner/EpochLoss,2.3073833501514267,155,Validation,0.0001
Refiner/IoU,0.5055865220287267,155,Validation,0.0001
EncoderDecoder/EpochLoss,2.403238776150872,156,Validation,0.0001
Refiner/EpochLoss,2.2628667884451503,156,Validation,0.0001
Refiner/IoU,0.5086540557005826,156,Validation,0.0001
EncoderDecoder/EpochLoss,2.349157002042322,157,Validation,0.0001
Refiner/EpochLoss,2.1559913928894434,157,Validation,0.0001
Refiner/IoU,0.5092196847586071,157,Validation,0.0001
EncoderDecoder/EpochLoss,2.4384644494337198,158,Validation,0.0001
Refiner/EpochLoss,2.225960157723988,158,Validation,0.0001
Refiner/IoU,0.5204987548291683,158,Validation,0.0001
EncoderDecoder/EpochLoss,2.251921487731092,159,Validation,0.0001
Refiner/EpochLoss,2.0845261422588544,159,Validation,0.0001
Refiner/IoU,0.51679998101557,159,Validation,0.0001
EncoderDecoder/EpochLoss,2.3105506857528404,160,Validation,0.0001
Refiner/EpochLoss,2.1049071943058686,160,Validation,0.0001
Refiner/IoU,0.5048823574448333,160,Validation,0.0001
EncoderDecoder/EpochLoss,2.2034307750708915,161,Validation,0.0001
Refiner/EpochLoss,1.9642842720536624,161,Validation,0.0001
